file,x,y,elevation,slope,relative_depth,flow_proxy,label
DEVDI_POINT_CLOUD_511671,258725.035,2534666.977,-19.7320,0.2234,1.0290,0.0839,-1
DEVDI_POINT_CLOUD_511671,258728.035,2534666.977,-19.8820,0.4511,1.1790,0.0961,-1
DEVDI_POINT_CLOUD_511671,258729.035,2534666.977,-20.0150,0.5397,1.3120,0.1070,-1
DEVDI_POINT_CLOUD_511671,258731.035,2534667.977,-19.8490,0.0000,1.1460,0.0934,-1
DEVDI_POINT_CLOUD_511671,258733.035,2534667.977,-19.4270,0.0000,0.7240,0.0590,-1
DEVDI_POINT_CLOUD_511671,258729.035,2534669.977,-19.8900,0.0000,1.1870,0.0968,-1
DEVDI_POINT_CLOUD_511671,258733.035,2534670.977,-19.8820,0.0000,1.1790,0.0961,-1
DEVDI_POINT_CLOUD_511671,258732.035,2534671.977,-19.9990,0.0000,1.2960,0.1057,-1
DEVDI_POINT_CLOUD_511671,258746.035,2534671.977,-20.0380,0.0000,1.3350,0.1088,-1
DEVDI_POINT_CLOUD_511671,258726.035,2534672.977,-20.0270,0.0000,1.3240,0.1079,-1
DEVDI_POINT_CLOUD_511671,258728.035,2534672.977,-19.9850,0.1992,1.2820,0.1045,-1
DEVDI_POINT_CLOUD_511671,258749.035,2534672.977,-19.8780,0.2592,1.1750,0.0958,-1
DEVDI_POINT_CLOUD_511671,258755.035,2534672.977,-20.0020,0.0000,1.2990,0.1059,-1
DEVDI_POINT_CLOUD_511671,258723.035,2534673.977,-19.6060,0.0000,0.9030,0.0736,-1
DEVDI_POINT_CLOUD_511671,258728.035,2534673.977,-19.9070,0.2382,1.2040,0.0982,-1
DEVDI_POINT_CLOUD_511671,258731.035,2534673.977,-19.8620,0.2188,1.1590,0.0945,-1
DEVDI_POINT_CLOUD_511671,258732.035,2534673.977,-19.9230,0.1767,1.2200,0.0995,-1
DEVDI_POINT_CLOUD_511671,258737.035,2534673.977,-20.0900,0.0000,1.3870,0.1131,-1
DEVDI_POINT_CLOUD_511671,258749.035,2534673.977,-20.0270,0.1847,1.3240,0.1079,-1
DEVDI_POINT_CLOUD_511671,258756.035,2534673.977,-20.0150,0.0000,1.3120,0.1070,-1
DEVDI_POINT_CLOUD_511671,258725.035,2534674.977,-20.0250,0.0000,1.3220,0.1078,-1
DEVDI_POINT_CLOUD_511671,258727.035,2534674.977,-19.9270,0.0000,1.2240,0.0998,-1
DEVDI_POINT_CLOUD_511671,258731.035,2534674.977,-19.6490,0.1767,0.9460,0.0771,-1
DEVDI_POINT_CLOUD_511671,258733.035,2534674.977,-20.0180,0.0000,1.3150,0.1072,-1
DEVDI_POINT_CLOUD_511671,258745.035,2534674.977,-19.9730,0.0000,1.2700,0.1035,-1
DEVDI_POINT_CLOUD_511671,258747.035,2534674.977,-20.1270,0.0000,1.4240,0.1161,-1
DEVDI_POINT_CLOUD_511671,258750.035,2534674.977,-20.0280,0.0000,1.3250,0.1080,-1
DEVDI_POINT_CLOUD_511671,258563.035,2534675.977,-19.2020,0.0363,0.4990,0.0407,-1
DEVDI_POINT_CLOUD_511671,258564.035,2534675.977,-19.4360,0.1533,0.7330,0.0598,-1
DEVDI_POINT_CLOUD_511671,258568.035,2534675.977,-19.0350,0.0000,0.3320,0.0271,-1
DEVDI_POINT_CLOUD_511671,258737.035,2534675.977,-19.9840,0.0000,1.2810,0.1044,-1
DEVDI_POINT_CLOUD_511671,258746.035,2534675.977,-19.9930,0.0000,1.2900,0.1052,-1
DEVDI_POINT_CLOUD_511671,258765.035,2534675.977,-20.0890,0.1902,1.3860,0.1130,-1
DEVDI_POINT_CLOUD_511671,258565.035,2534676.977,-19.3900,0.0598,0.6870,0.0560,-1
DEVDI_POINT_CLOUD_511671,258569.035,2534676.977,-19.3940,0.0000,0.6910,0.0563,-1
DEVDI_POINT_CLOUD_511671,258722.035,2534676.977,-19.6300,0.0000,0.9270,0.0756,-1
DEVDI_POINT_CLOUD_511671,258724.035,2534676.977,-19.4970,0.0000,0.7940,0.0647,-1
DEVDI_POINT_CLOUD_511671,258726.035,2534676.977,-19.3410,0.0000,0.6380,0.0520,-1
DEVDI_POINT_CLOUD_511671,258728.035,2534676.977,-19.1860,0.0000,0.4830,0.0394,-1
DEVDI_POINT_CLOUD_511671,258730.035,2534676.977,-19.4350,0.0000,0.7320,0.0597,-1
DEVDI_POINT_CLOUD_511671,258745.035,2534676.977,-20.1710,0.0312,1.4680,0.1197,-1
DEVDI_POINT_CLOUD_511671,258764.035,2534676.977,-19.7070,0.1902,1.0040,0.0819,-1
DEVDI_POINT_CLOUD_511671,258765.035,2534676.977,-19.8890,0.3067,1.1860,0.0967,-1
DEVDI_POINT_CLOUD_511671,258767.035,2534676.977,-19.5540,0.0000,0.8510,0.0694,-1
DEVDI_POINT_CLOUD_511671,258565.035,2534677.977,-19.3890,0.0593,0.6860,0.0559,-1
DEVDI_POINT_CLOUD_511671,258568.035,2534677.977,-19.4190,0.0000,0.7160,0.0584,-1
DEVDI_POINT_CLOUD_511671,258589.035,2534677.977,-18.9460,0.0000,0.2430,0.0198,-1
DEVDI_POINT_CLOUD_511671,258727.035,2534677.977,-19.2630,0.0547,0.5600,0.0457,-1
DEVDI_POINT_CLOUD_511671,258731.035,2534677.977,-19.1270,0.1153,0.4240,0.0346,-1
DEVDI_POINT_CLOUD_511671,258735.035,2534677.977,-19.6360,0.2337,0.9330,0.0761,-1
DEVDI_POINT_CLOUD_511671,258736.035,2534677.977,-19.9760,0.0637,1.2730,0.1038,-1
DEVDI_POINT_CLOUD_511671,258745.035,2534677.977,-19.5710,0.3336,0.8680,0.0708,-1
DEVDI_POINT_CLOUD_511671,258746.035,2534677.977,-19.5880,0.0312,0.8850,0.0722,-1
DEVDI_POINT_CLOUD_511671,258562.035,2534678.977,-19.5130,0.0000,0.8100,0.0660,-1
DEVDI_POINT_CLOUD_511671,258564.035,2534678.977,-19.4390,0.0403,0.7360,0.0600,-1
DEVDI_POINT_CLOUD_511671,258571.035,2534678.977,-19.4000,0.0473,0.6970,0.0568,-1
DEVDI_POINT_CLOUD_511671,258576.035,2534678.977,-19.3330,0.0000,0.6300,0.0514,-1
DEVDI_POINT_CLOUD_511671,258581.035,2534678.977,-19.2260,0.0000,0.5230,0.0426,-1
DEVDI_POINT_CLOUD_511671,258585.035,2534678.977,-19.2510,0.1754,0.5480,0.0447,-1
DEVDI_POINT_CLOUD_511671,258586.035,2534678.977,-19.8580,0.1288,1.1550,0.0942,-1
