file,x,y,elevation,slope,relative_depth,flow_proxy,label
KHAPRETA_510206,312152.860,2624065.200,127.3400,0.4300,5.0800,0.3246,-1
KHAPRETA_510206,312150.860,2624066.200,127.6000,0.0000,4.8200,0.3080,-1
KHAPRETA_510206,312152.860,2624066.200,127.7700,1.2181,4.6500,0.2971,-1
KHAPRETA_510206,312156.860,2624067.200,127.9500,0.0000,4.4700,0.2856,-1
KHAPRETA_510206,312152.860,2624068.200,128.3100,0.9331,4.1100,0.2626,-1
KHAPRETA_510206,312153.860,2624068.200,127.9100,0.7331,4.5100,0.2882,-1
KHAPRETA_510206,312159.860,2624068.200,128.1800,0.6881,4.2400,0.2709,-1
KHAPRETA_510206,312421.860,2624068.200,129.6900,0.1019,2.7300,0.1744,-1
KHAPRETA_510206,312159.860,2624069.200,128.4000,0.7981,4.0200,0.2569,-1
KHAPRETA_510206,312418.860,2624069.200,130.0400,0.0000,2.3800,0.1521,-1
KHAPRETA_510206,312421.860,2624069.200,129.9800,0.0431,2.4400,0.1559,-1
KHAPRETA_510206,312423.860,2624069.200,129.8700,0.0219,2.5500,0.1629,-1
KHAPRETA_510206,312427.860,2624069.200,129.8100,0.0000,2.6100,0.1668,-1
KHAPRETA_510206,312153.860,2624070.200,128.5500,0.0000,3.8700,0.2473,-1
KHAPRETA_510206,312417.860,2624070.200,130.0300,0.1369,2.3900,0.1527,-1
KHAPRETA_510206,312419.860,2624070.200,130.0000,0.1019,2.4200,0.1546,-1
KHAPRETA_510206,312420.860,2624070.200,129.9800,0.1449,2.4400,0.1559,-1
KHAPRETA_510206,312423.860,2624070.200,129.8200,0.0469,2.6000,0.1661,-1
KHAPRETA_510206,312158.860,2624071.200,128.1500,0.0000,4.2700,0.2728,-1
KHAPRETA_510206,312410.860,2624071.200,130.4200,0.0000,2.0000,0.1278,-1
KHAPRETA_510206,312417.860,2624071.200,130.0500,0.1269,2.3700,0.1514,-1
KHAPRETA_510206,312420.860,2624071.200,129.9600,0.1019,2.4600,0.1572,-1
KHAPRETA_510206,312426.860,2624071.200,130.0100,0.2519,2.4100,0.1540,-1
KHAPRETA_510206,312427.860,2624071.200,130.2800,0.3886,2.1400,0.1367,-1
KHAPRETA_510206,312428.860,2624071.200,130.3600,0.4914,2.0600,0.1316,-1
KHAPRETA_510206,312143.860,2624072.200,127.9000,0.0000,4.5200,0.2888,-1
KHAPRETA_510206,312156.860,2624072.200,128.7700,0.0000,3.6500,0.2332,-1
KHAPRETA_510206,312403.860,2624072.200,130.3600,0.1869,2.0600,0.1316,-1
KHAPRETA_510206,312404.860,2624072.200,130.1500,0.3578,2.2700,0.1450,-1
KHAPRETA_510206,312406.860,2624072.200,130.3800,0.0000,2.0400,0.1304,-1
KHAPRETA_510206,312408.860,2624072.200,130.1600,0.0000,2.2600,0.1444,-1
KHAPRETA_510206,312419.860,2624072.200,130.2000,0.0000,2.2200,0.1419,-1
KHAPRETA_510206,312423.860,2624072.200,130.1200,0.1819,2.3000,0.1470,-1
KHAPRETA_510206,312424.860,2624072.200,130.1400,0.1300,2.2800,0.1457,-1
KHAPRETA_510206,312425.860,2624072.200,130.3800,0.1819,2.0400,0.1304,-1
KHAPRETA_510206,312427.860,2624072.200,130.4700,0.4914,1.9500,0.1246,-1
KHAPRETA_510206,312428.860,2624072.200,130.6200,0.4534,1.8000,0.1150,-1
KHAPRETA_510206,312157.860,2624073.200,128.4200,0.6381,4.0000,0.2556,-1
KHAPRETA_510206,312158.860,2624073.200,128.5000,0.6179,3.9200,0.2505,-1
KHAPRETA_510206,312159.860,2624073.200,128.2000,0.8745,4.2200,0.2696,-1
KHAPRETA_510206,312356.860,2624073.200,129.7100,0.0331,2.7100,0.1732,-1
KHAPRETA_510206,312358.860,2624073.200,129.7200,0.1031,2.7000,0.1725,-1
KHAPRETA_510206,312398.860,2624073.200,130.2600,0.2519,2.1600,0.1380,-1
KHAPRETA_510206,312399.860,2624073.200,130.2800,0.0550,2.1400,0.1367,-1
KHAPRETA_510206,312400.860,2624073.200,130.3700,0.2581,2.0500,0.1310,-1
KHAPRETA_510206,312401.860,2624073.200,130.3300,0.2969,2.0900,0.1335,-1
KHAPRETA_510206,312404.860,2624073.200,130.1900,0.3137,2.2300,0.1425,-1
KHAPRETA_510206,312405.860,2624073.200,130.2800,0.2069,2.1400,0.1367,-1
KHAPRETA_510206,312410.860,2624073.200,130.2400,0.0000,2.1800,0.1393,-1
KHAPRETA_510206,312416.860,2624073.200,130.0200,0.0000,2.4000,0.1534,-1
KHAPRETA_510206,312426.860,2624073.200,130.4900,0.0000,1.9300,0.1233,-1
KHAPRETA_510206,312158.860,2624074.200,128.5600,0.8745,3.8600,0.2466,-1
KHAPRETA_510206,312159.860,2624074.200,128.5800,0.9954,3.8400,0.2454,-1
KHAPRETA_510206,312161.860,2624074.200,128.5000,0.0000,3.9200,0.2505,-1
KHAPRETA_510206,312164.860,2624074.200,128.2500,0.0000,4.1700,0.2665,-1
KHAPRETA_510206,312356.860,2624074.200,129.7100,0.0600,2.7100,0.1732,-1
KHAPRETA_510206,312358.860,2624074.200,129.5700,0.0514,2.8500,0.1821,-1
KHAPRETA_510206,312359.860,2624074.200,129.6900,0.1031,2.7300,0.1744,-1
KHAPRETA_510206,312362.860,2624074.200,129.6500,0.0000,2.7700,0.1770,-1
KHAPRETA_510206,312395.860,2624074.200,130.1700,0.0000,2.2500,0.1438,-1
KHAPRETA_510206,312397.860,2624074.200,130.0800,0.0000,2.3400,0.1495,-1
KHAPRETA_510206,312400.860,2624074.200,130.2900,0.2969,2.1300,0.1361,-1
KHAPRETA_510206,312408.860,2624074.200,130.0100,0.1319,2.4100,0.1540,-1
KHAPRETA_510206,312411.860,2624074.200,130.2200,0.1419,2.2000,0.1406,-1
KHAPRETA_510206,312413.860,2624074.200,130.1500,0.1669,2.2700,0.1450,-1
KHAPRETA_510206,312418.860,2624074.200,130.0700,0.0000,2.3500,0.1502,-1
KHAPRETA_510206,312421.860,2624074.200,130.3800,0.0000,2.0400,0.1304,-1
KHAPRETA_510206,312424.860,2624074.200,130.4300,0.4069,1.9900,0.1272,-1
KHAPRETA_510206,312425.860,2624074.200,130.5900,0.3269,1.8300,0.1169,-1
KHAPRETA_510206,312160.860,2624075.200,128.6600,0.0000,3.7600,0.2403,-1
KHAPRETA_510206,312163.860,2624075.200,128.4100,0.4831,4.0100,0.2562,-1
KHAPRETA_510206,312356.860,2624075.200,129.5900,0.0331,2.8300,0.1808,-1
KHAPRETA_510206,312385.860,2624075.200,130.3800,0.0000,2.0400,0.1304,-1
KHAPRETA_510206,312392.860,2624075.200,130.1800,0.3542,2.2400,0.1431,-1
KHAPRETA_510206,312393.860,2624075.200,130.3200,0.2019,2.1000,0.1342,-1
KHAPRETA_510206,312396.860,2624075.200,130.1300,0.0000,2.2900,0.1463,-1
KHAPRETA_510206,312398.860,2624075.200,130.2100,0.2319,2.2100,0.1412,-1
KHAPRETA_510206,312401.860,2624075.200,130.3700,0.0000,2.0500,0.1310,-1
KHAPRETA_510206,312408.860,2624075.200,130.0400,0.2079,2.3800,0.1521,-1
KHAPRETA_510206,312409.860,2624075.200,130.1200,0.1698,2.3000,0.1470,-1
KHAPRETA_510206,312411.860,2624075.200,130.0600,0.1404,2.3600,0.1508,-1
KHAPRETA_510206,312412.860,2624075.200,130.0300,0.0250,2.3900,0.1527,-1
KHAPRETA_510206,312413.860,2624075.200,130.1100,0.2260,2.3100,0.1476,-1
KHAPRETA_510206,312416.860,2624075.200,130.2100,0.2469,2.2100,0.1412,-1
KHAPRETA_510206,312419.860,2624075.200,130.4300,0.2869,1.9900,0.1272,-1
KHAPRETA_510206,312426.860,2624075.200,130.4800,0.0000,1.9400,0.1240,-1
KHAPRETA_510206,312428.860,2624075.200,130.4900,0.3319,1.9300,0.1233,-1
KHAPRETA_510206,312159.860,2624076.200,128.6700,0.0000,3.7500,0.2396,-1
KHAPRETA_510206,312162.860,2624076.200,128.7000,0.4831,3.7200,0.2377,-1
KHAPRETA_510206,312163.860,2624076.200,128.8100,0.8695,3.6100,0.2307,-1
KHAPRETA_510206,312354.860,2624076.200,129.7600,0.0000,2.6600,0.1700,-1
KHAPRETA_510206,312363.860,2624076.200,129.7700,0.0000,2.6500,0.1693,-1
KHAPRETA_510206,312376.860,2624076.200,130.2600,0.2369,2.1600,0.1380,-1
KHAPRETA_510206,312377.860,2624076.200,130.2500,0.2419,2.1700,0.1387,-1
KHAPRETA_510206,312381.860,2624076.200,129.9400,0.0000,2.4800,0.1585,-1
KHAPRETA_510206,312392.860,2624076.200,130.2300,0.0400,2.1900,0.1399,-1
KHAPRETA_510206,312395.860,2624076.200,130.2100,0.2219,2.2100,0.1412,-1
KHAPRETA_510206,312398.860,2624076.200,130.2400,0.1000,2.1800,0.1393,-1
KHAPRETA_510206,312403.860,2624076.200,130.2900,0.1669,2.1300,0.1361,-1
KHAPRETA_510206,312407.860,2624076.200,130.2900,0.2219,2.1300,0.1361,-1
KHAPRETA_510206,312409.860,2624076.200,129.9900,0.2729,2.4300,0.1553,-1
KHAPRETA_510206,312410.860,2624076.200,130.2000,0.0550,2.2200,0.1419,-1
KHAPRETA_510206,312411.860,2624076.200,130.1000,0.2551,2.3200,0.1482,-1
KHAPRETA_510206,312415.860,2624076.200,130.2100,0.2469,2.2100,0.1412,-1
KHAPRETA_510206,312416.860,2624076.200,130.2700,0.2368,2.1500,0.1374,-1
KHAPRETA_510206,312417.860,2624076.200,130.4000,0.0950,2.0200,0.1291,-1
KHAPRETA_510206,312418.860,2624076.200,130.4600,0.0250,1.9600,0.1252,-1
